study_id,volume_id,reconstruction
train_13281_a,train_13281_a_1,1
train_10735_a,train_10735_a_1,1
train_18109_a,train_18109_a_1,1
train_1722_a,train_1722_a_1,1
train_16581_a,train_16581_a_1,1
train_14112_a,train_14112_a_1,1
train_1302_a,train_1302_a_1,1
train_8081_a,train_8081_a_1,1
train_12561_a,train_12561_a_1,1
train_9412_a,train_9412_a_1,1
train_4440_a,train_4440_a_1,1
train_10935_a,train_10935_a_1,1
train_10877_a,train_10877_a_1,1
train_12761_a,train_12761_a_1,1
train_16446_a,train_16446_a_1,1
train_1686_a,train_1686_a_1,1
train_1051_a,train_1051_a_1,1
train_6135_a,train_6135_a_1,1
train_16768_a,train_16768_a_1,1
train_14130_a,train_14130_a_1,1
train_7148_a,train_7148_a_1,1
train_2762_a,train_2762_a_1,1
train_895_a,train_895_a_1,1
train_6805_a,train_6805_a_1,1
train_18309_a,train_18309_a_1,1
train_10547_a,train_10547_a_1,1
train_16559_a,train_16559_a_1,1
train_10605_a,train_10605_a_1,1
train_18063_a,train_18063_a_1,1
train_1224_a,train_1224_a_1,1
train_3177_a,train_3177_a_1,1
train_18325_a,train_18325_a_1,1
train_9526_a,train_9526_a_1,1
train_13056_a,train_13056_a_1,1
train_8399_a,train_8399_a_1,1
train_12335_a,train_12335_a_1,1
train_12909_a,train_12909_a_1,1
train_16924_a,train_16924_a_1,1
train_13041_a,train_13041_a_1,1
train_2295_a,train_2295_a_1,1
train_8627_a,train_8627_a_1,1
train_8454_a,train_8454_a_1,1
train_12427_a,train_12427_a_1,1
train_13759_a,train_13759_a_1,1
train_15353_a,train_15353_a_1,1
train_1760_a,train_1760_a_1,1
train_19650_a,train_19650_a_1,1
train_7235_a,train_7235_a_1,1
train_4534_a,train_4534_a_1,1
train_12302_a,train_12302_a_1,1
train_1291_a,train_1291_a_1,1
train_18538_a,train_18538_a_1,1
train_10480_a,train_10480_a_1,1
train_18342_a,train_18342_a_1,1
train_12270_a,train_12270_a_1,1
train_4308_a,train_4308_a_1,1
train_12719_a,train_12719_a_1,1
train_8146_a,train_8146_a_1,1
train_2307_a,train_2307_a_1,1
train_17323_a,train_17323_a_1,1
train_11688_a,train_11688_a_1,1
train_13535_a,train_13535_a_1,1
train_14332_a,train_14332_a_1,1
train_8703_a,train_8703_a_1,1
train_2708_a,train_2708_a_1,1
train_6867_a,train_6867_a_1,1
train_608_a,train_608_a_1,1
train_9298_a,train_9298_a_1,1
train_16490_a,train_16490_a_1,1
train_7032_a,train_7032_a_1,1
train_2674_a,train_2674_a_1,1
train_16266_a,train_16266_a_1,1
train_16886_a,train_16886_a_1,1
train_16037_a,train_16037_a_1,1
train_17561_a,train_17561_a_1,1
train_3677_a,train_3677_a_1,1
train_12702_a,train_12702_a_1,1
train_4122_a,train_4122_a_1,1
train_4096_a,train_4096_a_1,1
train_1078_a,train_1078_a_1,1
train_7537_a,train_7537_a_1,1
train_2960_a,train_2960_a_1,1
train_8156_a,train_8156_a_1,1
train_14077_a,train_14077_a_1,1
train_9159_a,train_9159_a_1,1
train_16661_a,train_16661_a_1,1
train_10420_a,train_10420_a_1,1
train_18190_a,train_18190_a_1,1
train_11969_a,train_11969_a_1,1
train_9375_a,train_9375_a_1,1
train_9339_a,train_9339_a_1,1
train_2375_a,train_2375_a_1,1
train_19835_a,train_19835_a_1,1
train_13903_a,train_13903_a_1,1
train_12399_a,train_12399_a_1,1
train_13588_a,train_13588_a_1,1
train_10245_a,train_10245_a_1,1
train_583_a,train_583_a_1,1
train_18332_a,train_18332_a_1,1
train_7812_a,train_7812_a_1,1
